# GbID,Accession,TaxID,Organism,SpeciesTaxID,SpeciesName,Size
11558858,GCA_006516055.1,408172,marine metagenome (metagenomes),408172,marine metagenome,348742631
11558338,GCA_006515915.1,408172,marine metagenome (metagenomes),408172,marine metagenome,337216337
11558478,GCA_006515955.1,408172,marine metagenome (metagenomes),408172,marine metagenome,231666079
11553488,GCA_006513095.1,410658,soil metagenome (metagenomes),410658,soil metagenome,98487578
11368388,GCA_900682435.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,5033134
11368368,GCA_900682425.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,6652135
11368338,GCA_900682185.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,7437850
11368318,GCA_900682155.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,6101918
11368298,GCA_900682145.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,5167566
11368278,GCA_900682125.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,7934114
11368258,GCA_900682085.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,6516509
11368238,GCA_900682065.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,9317698
11368218,GCA_900682045.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,5912929
11349088,GCA_006365135.1,1899497,mine tailings metagenome (metagenomes),1899497,mine tailings metagenome,742578211
11349108,GCA_006365155.1,1899497,mine tailings metagenome (metagenomes),1899497,mine tailings metagenome,729711005
11348988,GCA_006365035.1,1899497,mine tailings metagenome (metagenomes),1899497,mine tailings metagenome,577196191
11170348,GCA_901459765.1,256318,metagenome (metagenomes),256318,metagenome,6142187
11170298,GCA_901459755.1,256318,metagenome (metagenomes),256318,metagenome,4722618
11170258,GCA_901459735.1,256318,metagenome (metagenomes),256318,metagenome,7080299
11170238,GCA_901459725.1,256318,metagenome (metagenomes),256318,metagenome,8027617
11170218,GCA_901459715.1,256318,metagenome (metagenomes),256318,metagenome,8347157
11170158,GCA_901459705.1,256318,metagenome (metagenomes),256318,metagenome,3914657
11170138,GCA_901459655.1,256318,metagenome (metagenomes),256318,metagenome,5288811
11170098,GCA_901459615.1,256318,metagenome (metagenomes),256318,metagenome,7017134
11170038,GCA_901459605.1,256318,metagenome (metagenomes),256318,metagenome,3581158
11169998,GCA_901459595.1,256318,metagenome (metagenomes),256318,metagenome,4702110
11169958,GCA_901459575.1,256318,metagenome (metagenomes),256318,metagenome,7320259
11169938,GCA_901459565.1,256318,metagenome (metagenomes),256318,metagenome,6007982
11169848,GCA_901459545.1,256318,metagenome (metagenomes),256318,metagenome,4178772
11169768,GCA_901459535.1,256318,metagenome (metagenomes),256318,metagenome,4210440
11169688,GCA_901459525.1,256318,metagenome (metagenomes),256318,metagenome,3551262
11169588,GCA_901459485.1,256318,metagenome (metagenomes),256318,metagenome,4496059
11169488,GCA_901459455.1,256318,metagenome (metagenomes),256318,metagenome,4290350
11169398,GCA_901459445.1,256318,metagenome (metagenomes),256318,metagenome,4232025
11169298,GCA_901459425.1,256318,metagenome (metagenomes),256318,metagenome,7412611
11169218,GCA_901459415.1,256318,metagenome (metagenomes),256318,metagenome,5129989
11169098,GCA_901459405.1,256318,metagenome (metagenomes),256318,metagenome,4204278
11168998,GCA_901459385.1,256318,metagenome (metagenomes),256318,metagenome,6733584
11168888,GCA_901459375.1,256318,metagenome (metagenomes),256318,metagenome,7208858
11168798,GCA_901459355.1,256318,metagenome (metagenomes),256318,metagenome,6301634
11168718,GCA_901459315.1,256318,metagenome (metagenomes),256318,metagenome,4881000
11168638,GCA_901459305.1,256318,metagenome (metagenomes),256318,metagenome,6764200
11168538,GCA_901459005.1,256318,metagenome (metagenomes),256318,metagenome,4257681
11168438,GCA_901458985.1,256318,metagenome (metagenomes),256318,metagenome,4148668
11168328,GCA_901458905.1,256318,metagenome (metagenomes),256318,metagenome,7008488
11168198,GCA_901458885.1,256318,metagenome (metagenomes),256318,metagenome,3869809
11168088,GCA_901458875.1,256318,metagenome (metagenomes),256318,metagenome,4096575
11167958,GCA_901458835.1,256318,metagenome (metagenomes),256318,metagenome,6459283
11167838,GCA_901458675.1,256318,metagenome (metagenomes),256318,metagenome,4452424
11167748,GCA_901458625.1,256318,metagenome (metagenomes),256318,metagenome,3880390
11167658,GCA_901458595.1,256318,metagenome (metagenomes),256318,metagenome,3896438
11167558,GCA_901458585.1,256318,metagenome (metagenomes),256318,metagenome,4033749
11167458,GCA_901458565.1,256318,metagenome (metagenomes),256318,metagenome,4127436
11167358,GCA_901458445.1,256318,metagenome (metagenomes),256318,metagenome,4718258
11167298,GCA_901458425.1,256318,metagenome (metagenomes),256318,metagenome,3419166
11167178,GCA_901458435.1,256318,metagenome (metagenomes),256318,metagenome,4566485
11167078,GCA_901458295.1,256318,metagenome (metagenomes),256318,metagenome,4207425
11166978,GCA_901458255.1,256318,metagenome (metagenomes),256318,metagenome,3524556
11166898,GCA_901458155.1,256318,metagenome (metagenomes),256318,metagenome,4219648
11166788,GCA_901458145.1,256318,metagenome (metagenomes),256318,metagenome,4016944
11166718,GCA_901458045.1,256318,metagenome (metagenomes),256318,metagenome,6786960
11166598,GCA_901458035.1,256318,metagenome (metagenomes),256318,metagenome,5820699
11166548,GCA_901458025.1,256318,metagenome (metagenomes),256318,metagenome,4421421
11166428,GCA_901457985.1,256318,metagenome (metagenomes),256318,metagenome,6931655
11113978,GCA_006243215.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,726423695
11113938,GCA_006243175.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,779488152
11113998,GCA_006243245.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,690372416
11113878,GCA_006243105.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,908620703
11113918,GCA_006243145.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,688467758
11113858,GCA_006243085.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,934401306
11113838,GCA_006243065.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,544469896
11113818,GCA_006243045.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,425592794
11111718,GCA_006240935.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,179751069
11111738,GCA_006240955.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,30179720
11111698,GCA_006240915.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,106918102
11111678,GCA_006240895.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,64298073
11111658,GCA_006240875.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,59584296
11111638,GCA_006240855.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,25782102
11111608,GCA_006240815.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,90571310
11111618,GCA_006240825.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,55949231
11111568,GCA_006240775.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,118958202
11111578,GCA_006240795.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,100464416
11111538,GCA_006240755.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,58694297
11093058,GCA_006222095.1,1651086,saline spring metagenome (metagenomes),1651086,saline spring metagenome,4952443
11084498,GCA_006214125.1,433727,hot springs metagenome (metagenomes),433727,hot springs metagenome,147824999
10652518,GCA_005809045.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,1371912480
10648058,GCA_005804565.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,1681806653
10645518,GCA_005802045.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,1085178106
10645398,GCA_005801925.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,1265131015
10645258,GCA_005801785.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,996079643
10638378,GCA_005795945.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,273263781
10638338,GCA_005795915.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,201775444
10638328,GCA_005795885.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,132815068
10638298,GCA_005795865.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,133109177
10638258,GCA_005795825.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,189492527
10638278,GCA_005795845.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,81174020
10638218,GCA_005795785.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,219415236
10638238,GCA_005795805.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,157933866
10638148,GCA_005795745.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,117901738
10554638,GCA_901459695.1,256318,metagenome (metagenomes),256318,metagenome,2377888
10554598,GCA_901459675.1,256318,metagenome (metagenomes),256318,metagenome,2141514
10554578,GCA_901459645.1,256318,metagenome (metagenomes),256318,metagenome,2447597
10554538,GCA_901459625.1,256318,metagenome (metagenomes),256318,metagenome,2749748
10554618,GCA_901459685.1,256318,metagenome (metagenomes),256318,metagenome,3306291
10554558,GCA_901459635.1,256318,metagenome (metagenomes),256318,metagenome,2274186
10554498,GCA_901459555.1,256318,metagenome (metagenomes),256318,metagenome,1916754
10554518,GCA_901459585.1,256318,metagenome (metagenomes),256318,metagenome,1773451
10554478,GCA_901459515.1,256318,metagenome (metagenomes),256318,metagenome,2244515
10554358,GCA_901459395.1,256318,metagenome (metagenomes),256318,metagenome,2234204
10554378,GCA_901459435.1,256318,metagenome (metagenomes),256318,metagenome,2289783
10554458,GCA_901459505.1,256318,metagenome (metagenomes),256318,metagenome,2860384
10554398,GCA_901459465.1,256318,metagenome (metagenomes),256318,metagenome,2512209
10554418,GCA_901459475.1,256318,metagenome (metagenomes),256318,metagenome,2510699
10554438,GCA_901459495.1,256318,metagenome (metagenomes),256318,metagenome,2486754
10554338,GCA_901459365.1,256318,metagenome (metagenomes),256318,metagenome,3411634
10554318,GCA_901459345.1,256318,metagenome (metagenomes),256318,metagenome,2357896
10554298,GCA_901459335.1,256318,metagenome (metagenomes),256318,metagenome,3028190
10554198,GCA_901459265.1,256318,metagenome (metagenomes),256318,metagenome,3077374
10554218,GCA_901459275.1,256318,metagenome (metagenomes),256318,metagenome,2715553
10554058,GCA_901459195.1,256318,metagenome (metagenomes),256318,metagenome,1981316
10554278,GCA_901459325.1,256318,metagenome (metagenomes),256318,metagenome,1395498
10554258,GCA_901459295.1,256318,metagenome (metagenomes),256318,metagenome,2315733
10554238,GCA_901459285.1,256318,metagenome (metagenomes),256318,metagenome,3260802
10554158,GCA_901459245.1,256318,metagenome (metagenomes),256318,metagenome,1274598
10554178,GCA_901459255.1,256318,metagenome (metagenomes),256318,metagenome,1197383
10554138,GCA_901459235.1,256318,metagenome (metagenomes),256318,metagenome,2583362
10554118,GCA_901459225.1,256318,metagenome (metagenomes),256318,metagenome,2157427
10553978,GCA_901459145.1,256318,metagenome (metagenomes),256318,metagenome,3073885
10554078,GCA_901459205.1,256318,metagenome (metagenomes),256318,metagenome,3011590
10554098,GCA_901459215.1,256318,metagenome (metagenomes),256318,metagenome,2976523
10553938,GCA_901459135.1,256318,metagenome (metagenomes),256318,metagenome,1663619
10554018,GCA_901459175.1,256318,metagenome (metagenomes),256318,metagenome,3136795
10554038,GCA_901459185.1,256318,metagenome (metagenomes),256318,metagenome,2342076
10553898,GCA_901459115.1,256318,metagenome (metagenomes),256318,metagenome,2611838
10553998,GCA_901459165.1,256318,metagenome (metagenomes),256318,metagenome,1897201
10553958,GCA_901459155.1,256318,metagenome (metagenomes),256318,metagenome,3321573
10553918,GCA_901459125.1,256318,metagenome (metagenomes),256318,metagenome,805369
10553798,GCA_901459065.1,256318,metagenome (metagenomes),256318,metagenome,1719663
10553818,GCA_901459075.1,256318,metagenome (metagenomes),256318,metagenome,3042565
10553878,GCA_901459105.1,256318,metagenome (metagenomes),256318,metagenome,2603937
10553858,GCA_901459095.1,256318,metagenome (metagenomes),256318,metagenome,3163516
10553718,GCA_901459025.1,256318,metagenome (metagenomes),256318,metagenome,2409094
10553838,GCA_901459085.1,256318,metagenome (metagenomes),256318,metagenome,3274953
10553738,GCA_901459035.1,256318,metagenome (metagenomes),256318,metagenome,2169025
10553778,GCA_901459055.1,256318,metagenome (metagenomes),256318,metagenome,2901203
10553698,GCA_901459015.1,256318,metagenome (metagenomes),256318,metagenome,2541403
10553758,GCA_901459045.1,256318,metagenome (metagenomes),256318,metagenome,1112371
10553618,GCA_901458955.1,256318,metagenome (metagenomes),256318,metagenome,2673271
10553678,GCA_901458995.1,256318,metagenome (metagenomes),256318,metagenome,2480889
10553598,GCA_901458945.1,256318,metagenome (metagenomes),256318,metagenome,2812684
10553658,GCA_901458975.1,256318,metagenome (metagenomes),256318,metagenome,2729910
10553638,GCA_901458965.1,256318,metagenome (metagenomes),256318,metagenome,2831058
10553578,GCA_901458935.1,256318,metagenome (metagenomes),256318,metagenome,3283277
10553498,GCA_901458865.1,256318,metagenome (metagenomes),256318,metagenome,2733095
10553558,GCA_901458925.1,256318,metagenome (metagenomes),256318,metagenome,1813899
10553538,GCA_901458915.1,256318,metagenome (metagenomes),256318,metagenome,2986873
10553458,GCA_901458845.1,256318,metagenome (metagenomes),256318,metagenome,1620299
10553518,GCA_901458895.1,256318,metagenome (metagenomes),256318,metagenome,2643895
10553478,GCA_901458855.1,256318,metagenome (metagenomes),256318,metagenome,2238819
10553378,GCA_901458785.1,256318,metagenome (metagenomes),256318,metagenome,2625374
10553418,GCA_901458815.1,256318,metagenome (metagenomes),256318,metagenome,1550092
10553438,GCA_901458825.1,256318,metagenome (metagenomes),256318,metagenome,2427514
10553398,GCA_901458805.1,256318,metagenome (metagenomes),256318,metagenome,3211898
10553258,GCA_901458725.1,256318,metagenome (metagenomes),256318,metagenome,3129873
10553338,GCA_901458765.1,256318,metagenome (metagenomes),256318,metagenome,2316475
10553358,GCA_901458775.1,256318,metagenome (metagenomes),256318,metagenome,2337627
10553318,GCA_901458755.1,256318,metagenome (metagenomes),256318,metagenome,1127689
10553238,GCA_901458715.1,256318,metagenome (metagenomes),256318,metagenome,2344929
10553278,GCA_901458735.1,256318,metagenome (metagenomes),256318,metagenome,2187609
10553298,GCA_901458745.1,256318,metagenome (metagenomes),256318,metagenome,2445731
10553218,GCA_901458705.1,256318,metagenome (metagenomes),256318,metagenome,2915605
10553198,GCA_901458695.1,256318,metagenome (metagenomes),256318,metagenome,2481013
10553178,GCA_901458685.1,256318,metagenome (metagenomes),256318,metagenome,1655771
10553158,GCA_901458655.1,256318,metagenome (metagenomes),256318,metagenome,1484817
10553118,GCA_901458645.1,256318,metagenome (metagenomes),256318,metagenome,2705578
10553138,GCA_901458665.1,256318,metagenome (metagenomes),256318,metagenome,2144487
10553078,GCA_901458615.1,256318,metagenome (metagenomes),256318,metagenome,2448597
10553038,GCA_901458575.1,256318,metagenome (metagenomes),256318,metagenome,2378607
10553098,GCA_901458635.1,256318,metagenome (metagenomes),256318,metagenome,2088182
10553058,GCA_901458605.1,256318,metagenome (metagenomes),256318,metagenome,1593083
10552978,GCA_901458535.1,256318,metagenome (metagenomes),256318,metagenome,2597850
10553018,GCA_901458555.1,256318,metagenome (metagenomes),256318,metagenome,3152720
10552998,GCA_901458545.1,256318,metagenome (metagenomes),256318,metagenome,1705289
10552938,GCA_901458515.1,256318,metagenome (metagenomes),256318,metagenome,2404926
10552958,GCA_901458525.1,256318,metagenome (metagenomes),256318,metagenome,1287653
10552918,GCA_901458505.1,256318,metagenome (metagenomes),256318,metagenome,2127275
10552878,GCA_901458485.1,256318,metagenome (metagenomes),256318,metagenome,3247612
10552898,GCA_901458495.1,256318,metagenome (metagenomes),256318,metagenome,2992352
10552858,GCA_901458475.1,256318,metagenome (metagenomes),256318,metagenome,3327915
10552698,GCA_901458365.1,256318,metagenome (metagenomes),256318,metagenome,2719254
10552838,GCA_901458455.1,256318,metagenome (metagenomes),256318,metagenome,3166771
10552758,GCA_901458385.1,256318,metagenome (metagenomes),256318,metagenome,1961198
10552818,GCA_901458465.1,256318,metagenome (metagenomes),256318,metagenome,2071984
10552738,GCA_901458395.1,256318,metagenome (metagenomes),256318,metagenome,2467312
10552798,GCA_901458415.1,256318,metagenome (metagenomes),256318,metagenome,1611189
10552778,GCA_901458405.1,256318,metagenome (metagenomes),256318,metagenome,2449717
10552718,GCA_901458375.1,256318,metagenome (metagenomes),256318,metagenome,3020330
10552678,GCA_901458355.1,256318,metagenome (metagenomes),256318,metagenome,2963116
10552658,GCA_901458345.1,256318,metagenome (metagenomes),256318,metagenome,2860032
10552618,GCA_901458325.1,256318,metagenome (metagenomes),256318,metagenome,2927082
10552638,GCA_901458335.1,256318,metagenome (metagenomes),256318,metagenome,953407
10552598,GCA_901458315.1,256318,metagenome (metagenomes),256318,metagenome,3312935
10552578,GCA_901458305.1,256318,metagenome (metagenomes),256318,metagenome,1901843
10552478,GCA_901458235.1,256318,metagenome (metagenomes),256318,metagenome,2445485
10552558,GCA_901458285.1,256318,metagenome (metagenomes),256318,metagenome,1874466
10552518,GCA_901458265.1,256318,metagenome (metagenomes),256318,metagenome,3046720
10552538,GCA_901458275.1,256318,metagenome (metagenomes),256318,metagenome,1452226
10552398,GCA_901458195.1,256318,metagenome (metagenomes),256318,metagenome,2887148
10552498,GCA_901458245.1,256318,metagenome (metagenomes),256318,metagenome,2174775
10552458,GCA_901458225.1,256318,metagenome (metagenomes),256318,metagenome,2909792
10552438,GCA_901458215.1,256318,metagenome (metagenomes),256318,metagenome,3064316
10552418,GCA_901458205.1,256318,metagenome (metagenomes),256318,metagenome,2145657
10552378,GCA_901458185.1,256318,metagenome (metagenomes),256318,metagenome,2575935
10552358,GCA_901458175.1,256318,metagenome (metagenomes),256318,metagenome,2635641
10552338,GCA_901458165.1,256318,metagenome (metagenomes),256318,metagenome,2545634
10552278,GCA_901458115.1,256318,metagenome (metagenomes),256318,metagenome,3262588
10552318,GCA_901458125.1,256318,metagenome (metagenomes),256318,metagenome,2991341
10552298,GCA_901458135.1,256318,metagenome (metagenomes),256318,metagenome,3088664
10552258,GCA_901458105.1,256318,metagenome (metagenomes),256318,metagenome,2452804
10552238,GCA_901458095.1,256318,metagenome (metagenomes),256318,metagenome,2191830
10552218,GCA_901458085.1,256318,metagenome (metagenomes),256318,metagenome,3041336
10552178,GCA_901458065.1,256318,metagenome (metagenomes),256318,metagenome,2782270
10552158,GCA_901458055.1,256318,metagenome (metagenomes),256318,metagenome,3244339
10552198,GCA_901458075.1,256318,metagenome (metagenomes),256318,metagenome,2150201
10146448,GCA_005524035.1,1070528,viral metagenome (metagenomes),1070528,viral metagenome,15279135
10142708,GCA_005521635.1,749906,gut metagenome (metagenomes),749906,gut metagenome,69056649
10004658,GCA_005388095.1,904678,hypersaline lake metagenome (metagenomes),904678,hypersaline lake metagenome,52675148
10004638,GCA_005388075.1,1070528,viral metagenome (metagenomes),1070528,viral metagenome,10051770
9338668,GCA_004799105.1,1154581,food fermentation metagenome (metagenomes),1154581,food fermentation metagenome,25119901
9338588,GCA_004799045.1,1154581,food fermentation metagenome (metagenomes),1154581,food fermentation metagenome,25958302
9338568,GCA_004799075.1,1154581,food fermentation metagenome (metagenomes),1154581,food fermentation metagenome,11880429
9303978,GCA_900883635.1,1297885,plant metagenome (metagenomes),1297885,plant metagenome,5042305
9303698,GCA_900750655.1,1263854,anaerobic digester metagenome (metagenomes),1263854,anaerobic digester metagenome,2965989
9303678,GCA_900750605.1,1263854,anaerobic digester metagenome (metagenomes),1263854,anaerobic digester metagenome,3236563
9303658,GCA_900750585.1,1263854,anaerobic digester metagenome (metagenomes),1263854,anaerobic digester metagenome,2008240
9256108,GCA_900681975.1,410658,soil metagenome (metagenomes),410658,soil metagenome,1046115162
9032838,GCA_004566355.1,408172,marine metagenome (metagenomes),408172,marine metagenome,130126635
9032338,GCA_004566135.1,412755,marine sediment metagenome (metagenomes),412755,marine sediment metagenome,1030606389
9032318,GCA_004566115.1,412755,marine sediment metagenome (metagenomes),412755,marine sediment metagenome,1015470511
9032298,GCA_004566095.1,412755,marine sediment metagenome (metagenomes),412755,marine sediment metagenome,859259230
9032278,GCA_004566075.1,412755,marine sediment metagenome (metagenomes),412755,marine sediment metagenome,742002249
9032258,GCA_004566055.1,412755,marine sediment metagenome (metagenomes),412755,marine sediment metagenome,187218264
9031878,GCA_004565965.1,410658,soil metagenome (metagenomes),410658,soil metagenome,89962479
9031928,GCA_004566025.1,410658,soil metagenome (metagenomes),410658,soil metagenome,9946056
9031908,GCA_004566005.1,410658,soil metagenome (metagenomes),410658,soil metagenome,12446309
9031888,GCA_004565985.1,410658,soil metagenome (metagenomes),410658,soil metagenome,14794316
9031748,GCA_004565845.1,410658,soil metagenome (metagenomes),410658,soil metagenome,134987402
9031778,GCA_004565865.1,410658,soil metagenome (metagenomes),410658,soil metagenome,125691768
9031828,GCA_004565925.1,410658,soil metagenome (metagenomes),410658,soil metagenome,41322366
9031848,GCA_004565945.1,410658,soil metagenome (metagenomes),410658,soil metagenome,30239799
9031808,GCA_004565905.1,410658,soil metagenome (metagenomes),410658,soil metagenome,65132466
9031728,GCA_004565825.1,410658,soil metagenome (metagenomes),410658,soil metagenome,68883874
9031798,GCA_004565885.1,410658,soil metagenome (metagenomes),410658,soil metagenome,17697645
9031708,GCA_004565805.1,410658,soil metagenome (metagenomes),410658,soil metagenome,32779308
9031638,GCA_004565745.1,410658,soil metagenome (metagenomes),410658,soil metagenome,141171113
9031668,GCA_004565765.1,410658,soil metagenome (metagenomes),410658,soil metagenome,85114526
9031688,GCA_004565785.1,410658,soil metagenome (metagenomes),410658,soil metagenome,38318641
9031618,GCA_004565725.1,410658,soil metagenome (metagenomes),410658,soil metagenome,65701788
9031568,GCA_004565685.1,410658,soil metagenome (metagenomes),410658,soil metagenome,59802135
9031588,GCA_004565705.1,410658,soil metagenome (metagenomes),410658,soil metagenome,56127395
9031528,GCA_004565615.1,410658,soil metagenome (metagenomes),410658,soil metagenome,15915211
9031548,GCA_004565665.1,410658,soil metagenome (metagenomes),410658,soil metagenome,3935328
9031518,GCA_004565635.1,410658,soil metagenome (metagenomes),410658,soil metagenome,17419729
9031418,GCA_004565545.1,410658,soil metagenome (metagenomes),410658,soil metagenome,116288244
9031488,GCA_004565595.1,410658,soil metagenome (metagenomes),410658,soil metagenome,12040412
9031468,GCA_004565575.1,410658,soil metagenome (metagenomes),410658,soil metagenome,10158030
9031428,GCA_004565535.1,410658,soil metagenome (metagenomes),410658,soil metagenome,9628277
9031388,GCA_004565505.1,410658,soil metagenome (metagenomes),410658,soil metagenome,14633458
9031368,GCA_004565485.1,410658,soil metagenome (metagenomes),410658,soil metagenome,40428726
