id,GbID,Accession,TaxID,Organism,SpeciesTaxID,SpeciesName,Size
5114401,14953058,GCA_009467445.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,31563690
5114391,14953018,GCA_009467425.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,75556860
5114381,14953088,GCA_009467475.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,21184050
5114371,14952938,GCA_009467375.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,33010050
5114361,14952958,GCA_009467405.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,30268755
5114351,14952918,GCA_009467355.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,29146630
5114331,14952898,GCA_009467315.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,18949167
5114321,14952888,GCA_009467305.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,33132726
5114311,14952758,GCA_009467225.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,33977150
5114301,14952818,GCA_009467285.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,21244079
5114291,14952748,GCA_009467185.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,23645459
5114271,14952738,GCA_009467195.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,8321844
5114261,14952698,GCA_009467165.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,24222963
5114231,14952668,GCA_009467145.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,9225881
5114211,14952638,GCA_009467125.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,17230416
5114201,14952618,GCA_009467105.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,10750763
5114191,14952608,GCA_009467085.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,13333719
5114181,14952538,GCA_009467045.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,10624590
5109881,14955698,GCA_009469565.1,527639,wastewater metagenome (metagenomes),527639,wastewater metagenome,5089316
5109851,14955648,GCA_009469485.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,8769610
5109561,14953398,GCA_009467705.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,10993814
5109531,14953138,GCA_009467465.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,9196056
5109511,14953008,GCA_009467345.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,11433940
5109491,14952838,GCA_009467265.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,5647247
5109471,14952798,GCA_009467245.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,12768079
5025131,14767848,GCA_009295485.1,749906,gut metagenome (metagenomes),749906,gut metagenome,700610158
5025121,14767828,GCA_009295465.1,749906,gut metagenome (metagenomes),749906,gut metagenome,561975821
5025111,14767808,GCA_009295445.1,749906,gut metagenome (metagenomes),749906,gut metagenome,266158766
5025101,14767788,GCA_009295425.1,749906,gut metagenome (metagenomes),749906,gut metagenome,185808412
5025091,14767768,GCA_009295405.1,749906,gut metagenome (metagenomes),749906,gut metagenome,185253294
5025081,14767758,GCA_009295385.1,749906,gut metagenome (metagenomes),749906,gut metagenome,231674481
4967041,14641138,GCA_009177285.1,749906,gut metagenome (metagenomes),749906,gut metagenome,1255364977
4959171,14631088,GCA_009176125.1,433727,hot springs metagenome (metagenomes),433727,hot springs metagenome,2489364
4843881,14370978,GCA_008917505.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,141651080
4843871,14370898,GCA_008917525.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,268151666
4841461,14361738,GCA_008932195.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,175767103
4841451,14361728,GCA_008932165.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,84784288
4841441,14361718,GCA_008932185.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,140686775
4826961,14340508,GCA_008917165.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,171697973
4826901,14340478,GCA_008917135.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,207608468
4826851,14340518,GCA_008917175.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,126624540
4826801,14340468,GCA_008917125.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,180720485
4826761,14340398,GCA_008917035.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,98791249
4826751,14340438,GCA_008917105.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,96298077
4826741,14340368,GCA_008917045.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,185875834
4826731,14340388,GCA_008917025.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,81694928
4826721,14340378,GCA_008917005.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,124584502
4826711,14340418,GCA_008917085.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,85119113
4826701,14340278,GCA_008916985.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,157613667
4826691,14340158,GCA_008916905.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,242455933
4826661,14340218,GCA_008916945.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,175006796
4826651,14340148,GCA_008916885.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,199423587
4826641,14340118,GCA_008916865.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,188100482
4826631,14340238,GCA_008916965.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,163658058
4826601,14340098,GCA_008916845.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,157228697
4826591,14340058,GCA_008916805.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,130548647
4826571,14340198,GCA_008916925.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,85441359
4826561,14340018,GCA_008916785.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,93824024
4826551,14340048,GCA_008916815.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,79865560
4820291,14340658,GCA_008917305.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,138724072
4819571,14340578,GCA_008917245.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,115300813
4819531,14340568,GCA_008917205.1,408170,human gut metagenome (metagenomes),408170,human gut metagenome,76596727
4799481,14268808,GCA_008849205.1,1163772,sponge metagenome (metagenomes),1163772,sponge metagenome,156947327
4798611,14266698,GCA_008847585.1,1163772,sponge metagenome (metagenomes),1163772,sponge metagenome,37443051
4769161,14176838,GCA_008770225.1,749906,gut metagenome (metagenomes),749906,gut metagenome,101178687
4769151,14176868,GCA_008770255.1,749906,gut metagenome (metagenomes),749906,gut metagenome,97398295
4763081,14168208,GCA_008761695.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,220806418
4743161,14129768,GCA_902498965.1,1561972,seawater metagenome (metagenomes),1561972,seawater metagenome,1605493
4729511,14110838,GCA_902499405.1,1561972,seawater metagenome (metagenomes),1561972,seawater metagenome,1605493
4708041,14025638,GCA_008654335.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,123831629
4708031,14025618,GCA_008654315.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,97254128
4702261,14025688,GCA_008654355.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,45945730
4702251,14025698,GCA_008654385.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,26778793
4702241,14025678,GCA_008654375.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,11305584
4699981,14010418,GCA_008639465.1,749906,gut metagenome (metagenomes),749906,gut metagenome,40858351
4699921,14010398,GCA_008639445.1,749906,gut metagenome (metagenomes),749906,gut metagenome,15345105
4694571,14007158,GCA_008636205.1,408172,marine metagenome (metagenomes),408172,marine metagenome,433069084
4693611,14006118,GCA_008636065.1,408172,marine metagenome (metagenomes),408172,marine metagenome,2206818362
4693421,14005218,GCA_008635275.1,433724,termite gut metagenome (metagenomes),433724,termite gut metagenome,39716290
4693081,14003358,GCA_008633385.1,1647806,lake water metagenome (metagenomes),1647806,lake water metagenome,139480963
4693071,14003338,GCA_008633355.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,48858656
4693051,14003328,GCA_008633345.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,37008960
4693041,14003318,GCA_008633325.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,47068949
4693031,14003258,GCA_008633285.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,50450663
4693011,14003228,GCA_008633255.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,140127996
4692971,14003218,GCA_008633205.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,91602433
4692961,14003198,GCA_008633225.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,79682279
4692901,14003178,GCA_008633185.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,89851657
4690081,14003098,GCA_008633095.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,55371590
4690071,14003088,GCA_008633085.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,35168104
4690061,14003078,GCA_008633055.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,52095048
4690051,14003058,GCA_008633065.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,36121858
4557531,13698788,GCA_008362845.1,433727,hot springs metagenome (metagenomes),433727,hot springs metagenome,210093746
4404301,13356578,GCA_008081735.1,408172,marine metagenome (metagenomes),408172,marine metagenome,117846866
4301181,13114058,GCA_900492095.1,256318,metagenome (metagenomes),256318,metagenome,5929205
4301171,13114038,GCA_900492085.1,256318,metagenome (metagenomes),256318,metagenome,2739318
4301161,13114018,GCA_900492075.1,256318,metagenome (metagenomes),256318,metagenome,4264353
4301151,13113998,GCA_900492065.1,256318,metagenome (metagenomes),256318,metagenome,6545070
4301141,13113978,GCA_900492055.1,256318,metagenome (metagenomes),256318,metagenome,6020047
4301131,13113958,GCA_900492035.1,256318,metagenome (metagenomes),256318,metagenome,4531074
4301121,13113938,GCA_900492025.1,256318,metagenome (metagenomes),256318,metagenome,2795863
4301111,13113918,GCA_900492045.1,256318,metagenome (metagenomes),256318,metagenome,4140833
4301101,13113898,GCA_900492015.1,256318,metagenome (metagenomes),256318,metagenome,5335416
4301081,13113878,GCA_900492005.1,256318,metagenome (metagenomes),256318,metagenome,4447407
4301071,13113858,GCA_900491995.1,256318,metagenome (metagenomes),256318,metagenome,1707495
4301061,13113838,GCA_900491985.1,256318,metagenome (metagenomes),256318,metagenome,3660466
4055891,12571218,GCA_004028595.2,1070528,viral metagenome (metagenomes),1070528,viral metagenome,14065705
4055881,12571198,GCA_004028585.2,1070528,viral metagenome (metagenomes),1070528,viral metagenome,6874040
3741771,11908708,GCA_006844875.1,1583376,cold seep metagenome (metagenomes),1583376,cold seep metagenome,231716115
3741751,11908688,GCA_006844845.1,1583376,cold seep metagenome (metagenomes),1583376,cold seep metagenome,89794957
3741741,11908678,GCA_006844825.1,1583376,cold seep metagenome (metagenomes),1583376,cold seep metagenome,127516020
3741721,11908628,GCA_006844795.1,1583376,cold seep metagenome (metagenomes),1583376,cold seep metagenome,8949033
3578051,11558818,GCA_006516035.1,408172,marine metagenome (metagenomes),408172,marine metagenome,497205055
3578041,11558858,GCA_006516055.1,408172,marine metagenome (metagenomes),408172,marine metagenome,348742631
3578011,11558338,GCA_006515915.1,408172,marine metagenome (metagenomes),408172,marine metagenome,337216337
3577991,11558478,GCA_006515955.1,408172,marine metagenome (metagenomes),408172,marine metagenome,231666079
3576561,11553488,GCA_006513095.1,410658,soil metagenome (metagenomes),410658,soil metagenome,98487578
3522011,11368388,GCA_900682435.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,5033134
3522001,11368368,GCA_900682425.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,6652135
3521991,11368338,GCA_900682185.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,7437850
3521981,11368318,GCA_900682155.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,6101918
3521971,11368298,GCA_900682145.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,5167566
3521961,11368278,GCA_900682125.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,7934114
3521951,11368258,GCA_900682085.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,6516509
3521941,11368238,GCA_900682065.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,9317698
3521931,11368218,GCA_900682045.1,1256227,indoor metagenome (metagenomes),1256227,indoor metagenome,5912929
3512391,11349088,GCA_006365135.1,1899497,mine tailings metagenome (metagenomes),1899497,mine tailings metagenome,742578211
3512371,11349108,GCA_006365155.1,1899497,mine tailings metagenome (metagenomes),1899497,mine tailings metagenome,729711005
3512331,11348988,GCA_006365035.1,1899497,mine tailings metagenome (metagenomes),1899497,mine tailings metagenome,577196191
3423231,11170348,GCA_901459765.1,256318,metagenome (metagenomes),256318,metagenome,6142187
3423221,11170298,GCA_901459755.1,256318,metagenome (metagenomes),256318,metagenome,4722618
3423201,11170258,GCA_901459735.1,256318,metagenome (metagenomes),256318,metagenome,7080299
3423191,11170238,GCA_901459725.1,256318,metagenome (metagenomes),256318,metagenome,8027617
3423171,11170218,GCA_901459715.1,256318,metagenome (metagenomes),256318,metagenome,8347157
3423141,11170158,GCA_901459705.1,256318,metagenome (metagenomes),256318,metagenome,3914657
3423131,11170138,GCA_901459655.1,256318,metagenome (metagenomes),256318,metagenome,5288811
3423111,11170098,GCA_901459615.1,256318,metagenome (metagenomes),256318,metagenome,7017134
3423091,11170038,GCA_901459605.1,256318,metagenome (metagenomes),256318,metagenome,3581158
3423071,11169998,GCA_901459595.1,256318,metagenome (metagenomes),256318,metagenome,4702110
3423051,11169958,GCA_901459575.1,256318,metagenome (metagenomes),256318,metagenome,7320259
3423041,11169938,GCA_901459565.1,256318,metagenome (metagenomes),256318,metagenome,6007982
3422981,11169848,GCA_901459545.1,256318,metagenome (metagenomes),256318,metagenome,4178772
3422951,11169768,GCA_901459535.1,256318,metagenome (metagenomes),256318,metagenome,4210440
3422911,11169688,GCA_901459525.1,256318,metagenome (metagenomes),256318,metagenome,3551262
3422861,11169588,GCA_901459485.1,256318,metagenome (metagenomes),256318,metagenome,4496059
3422811,11169488,GCA_901459455.1,256318,metagenome (metagenomes),256318,metagenome,4290350
3422771,11169398,GCA_901459445.1,256318,metagenome (metagenomes),256318,metagenome,4232025
3422721,11169298,GCA_901459425.1,256318,metagenome (metagenomes),256318,metagenome,7412611
3422681,11169218,GCA_901459415.1,256318,metagenome (metagenomes),256318,metagenome,5129989
3422621,11169098,GCA_901459405.1,256318,metagenome (metagenomes),256318,metagenome,4204278
3422571,11168998,GCA_901459385.1,256318,metagenome (metagenomes),256318,metagenome,6733584
3422511,11168888,GCA_901459375.1,256318,metagenome (metagenomes),256318,metagenome,7208858
3422471,11168798,GCA_901459355.1,256318,metagenome (metagenomes),256318,metagenome,6301634
3422431,11168718,GCA_901459315.1,256318,metagenome (metagenomes),256318,metagenome,4881000
3422391,11168638,GCA_901459305.1,256318,metagenome (metagenomes),256318,metagenome,6764200
3422331,11168538,GCA_901459005.1,256318,metagenome (metagenomes),256318,metagenome,4257681
3422291,11168438,GCA_901458985.1,256318,metagenome (metagenomes),256318,metagenome,4148668
3422231,11168328,GCA_901458905.1,256318,metagenome (metagenomes),256318,metagenome,7008488
3422171,11168198,GCA_901458885.1,256318,metagenome (metagenomes),256318,metagenome,3869809
3422111,11168088,GCA_901458875.1,256318,metagenome (metagenomes),256318,metagenome,4096575
3422041,11167958,GCA_901458835.1,256318,metagenome (metagenomes),256318,metagenome,6459283
3421991,11167838,GCA_901458675.1,256318,metagenome (metagenomes),256318,metagenome,4452424
3421941,11167748,GCA_901458625.1,256318,metagenome (metagenomes),256318,metagenome,3880390
3421901,11167658,GCA_901458595.1,256318,metagenome (metagenomes),256318,metagenome,3896438
3421851,11167558,GCA_901458585.1,256318,metagenome (metagenomes),256318,metagenome,4033749
3421801,11167458,GCA_901458565.1,256318,metagenome (metagenomes),256318,metagenome,4127436
3421751,11167358,GCA_901458445.1,256318,metagenome (metagenomes),256318,metagenome,4718258
3421721,11167298,GCA_901458425.1,256318,metagenome (metagenomes),256318,metagenome,3419166
3421651,11167178,GCA_901458435.1,256318,metagenome (metagenomes),256318,metagenome,4566485
3421621,11167078,GCA_901458295.1,256318,metagenome (metagenomes),256318,metagenome,4207425
3421561,11166978,GCA_901458255.1,256318,metagenome (metagenomes),256318,metagenome,3524556
3421511,11166898,GCA_901458155.1,256318,metagenome (metagenomes),256318,metagenome,4219648
3421441,11166788,GCA_901458145.1,256318,metagenome (metagenomes),256318,metagenome,4016944
3421411,11166718,GCA_901458045.1,256318,metagenome (metagenomes),256318,metagenome,6786960
3421381,11166598,GCA_901458035.1,256318,metagenome (metagenomes),256318,metagenome,5820699
3421331,11166548,GCA_901458025.1,256318,metagenome (metagenomes),256318,metagenome,4421421
3421281,11166428,GCA_901457985.1,256318,metagenome (metagenomes),256318,metagenome,6931655
3395121,11113978,GCA_006243215.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,726423695
3395101,11113938,GCA_006243175.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,779488152
3395091,11113998,GCA_006243245.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,690372416
3395061,11113878,GCA_006243105.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,908620703
3395041,11113918,GCA_006243145.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,688467758
3395031,11113858,GCA_006243085.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,934401306
3395011,11113838,GCA_006243065.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,544469896
3394991,11113818,GCA_006243045.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,425592794
3394041,11111718,GCA_006240935.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,179751069
3393941,11111738,GCA_006240955.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,30179720
3393931,11111698,GCA_006240915.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,106918102
3393921,11111678,GCA_006240895.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,64298073
3393911,11111658,GCA_006240875.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,59584296
3393901,11111638,GCA_006240855.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,25782102
3393891,11111608,GCA_006240815.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,90571310
3393881,11111618,GCA_006240825.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,55949231
3393871,11111568,GCA_006240775.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,118958202
3393861,11111578,GCA_006240795.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,100464416
3393851,11111538,GCA_006240755.1,652676,hydrothermal vent metagenome (metagenomes),652676,hydrothermal vent metagenome,58694297
3385031,11093058,GCA_006222095.1,1651086,saline spring metagenome (metagenomes),1651086,saline spring metagenome,4952443
3380701,11084498,GCA_006214125.1,433727,hot springs metagenome (metagenomes),433727,hot springs metagenome,147824999
3178371,10652518,GCA_005809045.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,1371912480
3176221,10648058,GCA_005804565.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,1681806653
3174711,10645518,GCA_005802045.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,1085178106
3174681,10645398,GCA_005801925.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,1265131015
3174531,10645258,GCA_005801785.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,996079643
3171561,10638378,GCA_005795945.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,273263781
3171521,10638338,GCA_005795915.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,201775444
3171461,10638328,GCA_005795885.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,132815068
3171451,10638298,GCA_005795865.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,133109177
3171441,10638258,GCA_005795825.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,189492527
3171431,10638278,GCA_005795845.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,81174020
3171421,10638218,GCA_005795785.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,219415236
3171411,10638238,GCA_005795805.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,157933866
3171371,10638148,GCA_005795745.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,117901738
3133051,10554638,GCA_901459695.1,256318,metagenome (metagenomes),256318,metagenome,2377888
3133041,10554598,GCA_901459675.1,256318,metagenome (metagenomes),256318,metagenome,2141514
3133021,10554578,GCA_901459645.1,256318,metagenome (metagenomes),256318,metagenome,2447597
3133001,10554538,GCA_901459625.1,256318,metagenome (metagenomes),256318,metagenome,2749748
3132991,10554618,GCA_901459685.1,256318,metagenome (metagenomes),256318,metagenome,3306291
3132981,10554558,GCA_901459635.1,256318,metagenome (metagenomes),256318,metagenome,2274186
3132971,10554498,GCA_901459555.1,256318,metagenome (metagenomes),256318,metagenome,1916754
3132961,10554518,GCA_901459585.1,256318,metagenome (metagenomes),256318,metagenome,1773451
3132951,10554478,GCA_901459515.1,256318,metagenome (metagenomes),256318,metagenome,2244515
3132941,10554358,GCA_901459395.1,256318,metagenome (metagenomes),256318,metagenome,2234204
3132931,10554378,GCA_901459435.1,256318,metagenome (metagenomes),256318,metagenome,2289783
3132921,10554458,GCA_901459505.1,256318,metagenome (metagenomes),256318,metagenome,2860384
3132911,10554398,GCA_901459465.1,256318,metagenome (metagenomes),256318,metagenome,2512209
3132901,10554418,GCA_901459475.1,256318,metagenome (metagenomes),256318,metagenome,2510699
3132891,10554438,GCA_901459495.1,256318,metagenome (metagenomes),256318,metagenome,2486754
3132881,10554338,GCA_901459365.1,256318,metagenome (metagenomes),256318,metagenome,3411634
3132871,10554318,GCA_901459345.1,256318,metagenome (metagenomes),256318,metagenome,2357896
3132861,10554298,GCA_901459335.1,256318,metagenome (metagenomes),256318,metagenome,3028190
3132851,10554198,GCA_901459265.1,256318,metagenome (metagenomes),256318,metagenome,3077374
3132841,10554218,GCA_901459275.1,256318,metagenome (metagenomes),256318,metagenome,2715553
3132831,10554058,GCA_901459195.1,256318,metagenome (metagenomes),256318,metagenome,1981316
3132821,10554278,GCA_901459325.1,256318,metagenome (metagenomes),256318,metagenome,1395498
3132811,10554258,GCA_901459295.1,256318,metagenome (metagenomes),256318,metagenome,2315733
3132801,10554238,GCA_901459285.1,256318,metagenome (metagenomes),256318,metagenome,3260802
3132791,10554158,GCA_901459245.1,256318,metagenome (metagenomes),256318,metagenome,1274598
3132781,10554178,GCA_901459255.1,256318,metagenome (metagenomes),256318,metagenome,1197383
3132771,10554138,GCA_901459235.1,256318,metagenome (metagenomes),256318,metagenome,2583362
3132761,10554118,GCA_901459225.1,256318,metagenome (metagenomes),256318,metagenome,2157427
3132751,10553978,GCA_901459145.1,256318,metagenome (metagenomes),256318,metagenome,3073885
3132741,10554078,GCA_901459205.1,256318,metagenome (metagenomes),256318,metagenome,3011590
3132731,10554098,GCA_901459215.1,256318,metagenome (metagenomes),256318,metagenome,2976523
